Ángulo,Luz1,Luz2,Luz3
0,927,986,946
5,1136,1132,1139
10,1335,1363,1276
15,1507,1478,1457
20,1648,1683,1706
25,1735,1815,1833
30,1805,1820,1784
35,1855,1853,1882
40,1869,1872,1867
45,1874,1820,1881
50,1872,1922,1822
55,1809,1827,1761
60,1718,1746,1682
65,1613,1559,1578
70,1535,1555,1564
75,1369,1380,1324
80,1203,1166,1229
85,1039,1017,1044
90,846,866,856
95,720,731,704
100,474,471,491
105,320,329,316
110,118,110,117
115,45,50,46
120,0,0,0
125,0,0,0
130,0,0,0
135,0,0,0
140,12,16,7
145,130,142,137
150,265,264,290
155,439,479,452
160,559,559,555
165,723,752,700
170,866,850,810
175,999,1033,1008
180,1109,1022,1091
